,sleep_time
1,6.1
2,4.1
3,6
4,6
5,4.9
6,6.9
7,6
8,6.7
9,6.8
10,6.4
20,6.9
21,6.4
22,6.9
23,6.8
24,6.5
25,6.5
26,6.4
27,6.8
28,6.4
29,6.5
30,6.3
31,6.9
