,sleep_time,風向・風速
0,6.1,7.4
1,4.1,6.9
2,6.0,8.6
3,6.0,8.5
4,4.9,7.0
5,6.9,10.6
6,6.0,12.0
7,6.7,9.8
8,6.8,11.1
9,6.4,11.3
10,6.9,12.3
11,6.4,12.6
12,6.9,9.4
13,6.8,9.5
14,6.5,13.2
15,6.5,21.3
16,6.4,11.5
17,6.8,6.7
18,6.4,6.7
19,6.5,8.3
20,6.3,8.6
21,6.9,4.0
